,etablissement_code_commune,etablissement_commune,Dernier établissement,rentree,AgeBacAvanceOuATemps,AgeBacRetard
91,95127,Cergy,CY Cergy Paris Université,2008,0.5826599823061044,0.4173400176938956
92,38421,Saint-Martin-d'Hères,Université Grenoble Alpes,2008,0.6274681111305259,0.372531888869474
93,31555,Toulouse,Sciences Po Toulouse,2008,0.790625,0.209375
94,31555,Toulouse,Institut national des sciences appliquées de Toulouse,2008,0.7530364372469636,0.24696356275303644
95,69081,Écully,Centrale Lyon,2008,0.758597437626433,0.24140256237356708
96,92050,Nanterre,Université Paris Nanterre,2008,0.5027816661282797,0.4972183338717203
97,86194,Poitiers,Université de Poitiers,2008,0.6219496722351449,0.37805032776485514
98,41018,Blois,Institut national des sciences appliquées Centre Val de Loire,2008,0.7266187050359713,0.2733812949640288
99,13001,Aix-en-Provence,Aix-Marseille Université,2008,0.5864842281178191,0.4135157718821809
100,31555,Toulouse,Université Toulouse III - Paul Sabatier,2008,0.6943696682464455,0.30563033175355453
101,66136,Perpignan,Université de Perpignan Via Domitia,2008,0.42078675838349094,0.579213241616509
102,87085,Limoges,Université de Limoges,2008,0.6300234672924612,0.3699765327075389
103,75105,Paris  5e,Chimie ParisTech-PSL,2008,0.8475177304964538,0.1524822695035461
104,33318,Pessac,Université de Bordeaux,2008,0.6239672068148338,0.3760327931851662
105,84007,Avignon,Avignon Université,2008,0.5542968117818418,0.4457031882181583
106,34172,Montpellier,Université de Montpellier,2008,0.6450319423678129,0.35496805763218703
107,38185,Grenoble,Institut polytechnique de Grenoble,2009,0.7909990574929312,0.2090009425070688
108,31555,Toulouse,Université Toulouse Capitole,2009,0.5848534103907049,0.41514658960929507
109,75113,Paris 13e,Université de Paris,2009,0.6037805478103986,0.3962194521896014
110,56121,Lorient,Université Bretagne Sud,2009,0.5873591989987484,0.41264080100125156
111,75105,Paris  5e,Université Paris 1 - Panthéon Sorbonne,2009,0.5818854944029851,0.4181145055970149
112,25056,Besançon,Université de Franche-Comté,2009,0.6276847241084452,0.3723152758915548
113,34172,Montpellier,Université de Montpellier,2009,0.6524157587459201,0.3475842412540799
114,35238,Rennes,Université de Rennes 1,2009,0.6884191176470589,0.3115808823529412
115,72181,Le Mans,Le Mans Université,2009,0.48493349958437243,0.5150665004156276
116,69387,Lyon 7e,Université Lumière - Lyon 2,2009,0.5522992985190959,0.44770070148090413
117,34172,Montpellier,École nationale supérieure de chimie de Montpellier,2009,0.8686868686868687,0.13131313131313133
118,33522,Talence,Université de Bordeaux,2009,0.6351621501554865,0.36483784984451356
119,98818,Nouméa,Université de la Nouvelle-Calédonie,2009,0.5713137806347931,0.4286862193652069
120,67482,Strasbourg,Institut national des sciences appliquées de Strasbourg,2009,0.8561514195583596,0.14384858044164037
121,93079,Villetaneuse,Université Sorbonne Paris Nord,2009,0.4178357650579873,0.5821642349420127
122,57463,Metz,Université de Lorraine,2009,0.588937093275488,0.41106290672451196
123,54395,Nancy,Université de Lorraine,2009,0.7027070318757008,0.29729296812429923
124,41018,Blois,Institut national des sciences appliquées Centre Val de Loire,2009,0.7022222222222222,0.29777777777777775
125,75113,Paris 13e,Arts et Métiers Sciences et Technologies,2009,0.7784102060843965,0.22158979391560354
126,31555,Toulouse,Université Toulouse III - Paul Sabatier,2009,0.6964584339811959,0.3035415660188041
127,31555,Toulouse,Toulouse INP,2009,0.7348551360842844,0.26514486391571557
128,35238,Rennes,Université Rennes 2,2009,0.5734872040181774,0.4265127959818225
129,33318,Pessac,Université de Bordeaux,2009,0.6260292491090083,0.37397075089099174
130,75105,Paris  5e,École nationale des Chartes,2009,0.9158878504672897,0.08411214953271028
131,35238,Rennes,Institut national des sciences appliquées de Rennes,2010,0.7741545893719807,0.22584541062801933
132,75105,Paris  5e,Sorbonne Université,2010,0.6244227258081839,0.37557727419181614
