Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
École;6048;686;3596;237;1529;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2015
Université;25853;1957;16897;3764;2265;35238;Rennes;Université de Rennes 1;2015
Université;9699;415;5159;1853;1717;72181;Le Mans;Le Mans Université;2015
Université;10899;386;6281;2634;1292;62041;Arras;Université d'Artois;2015
Autre établissement;1634;172;1068;134;260;13001;Aix-en-Provence;Sciences Po Aix;2015
Université;4015;191;2682;798;311;2B096;Corte;Université de Corse Pasquale Paoli;2015
École;1550;118;1035;153;244;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2015
Grand établissement;307;17;151;43;96;35238;Rennes;École des hautes études en santé publique;2015
Université;24067;1388;15457;4291;2382;37261;Tours;Université de Tours;2015
École;2173;313;1064;70;726;44109;Nantes;Centrale Nantes;2015
École;328;305;17;1;5;35047;Bruz;École normale supérieure de Rennes;2015
École;3681;457;2375;217;632;31555;Toulouse;Toulouse INP;2015
Université;15473;730;9710;2807;1935;87085;Limoges;Université de Limoges;2015
Université;28217;1638;17475;5894;2166;14118;Caen;Université de Caen Normandie;2015
Grand établissement;9427;1235;5774;586;1832;75107;Paris  7e;Sciences Po;2015
École;1554;81;643;328;502;75105;Paris  5e;IAE Paris - Sorbonne Business School;2015
Université;8370;326;4840;1890;1200;59183;Dunkerque;Université du Littoral Côte d'Opale;2015
École;1049;153;651;41;204;13213;Marseille 13e;Centrale Marseille;2016
École;1891;204;1312;55;320;35238;Rennes;Institut national des sciences appliquées de Rennes;2016
Grand établissement;240;21;176;21;22;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2016
Université;25889;2366;14760;3817;3974;75113;Paris 13e;Université de Paris;2016
Université;39035;2027;20324;6308;7029;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2016
École;1071;204;755;22;89;94016;Cachan;École normale supérieure Paris-Saclay;2016
Université;41489;2394;26864;6738;3959;44109;Nantes;Université de Nantes;2016
École;972;71;753;107;41;42218;Saint-Étienne;Centrale Lyon;2016
École;2890;187;1751;248;704;10387;Troyes;Université de technologie de Troyes;2016
Université;50584;3411;32906;7578;4997;33063;Bordeaux;Université de Bordeaux;2016
Université;11701;454;6983;2770;1142;77083;Champs-sur-Marne;Université Gustave Eiffel;2016
Université;9439;319;5183;2006;1479;83062;La Garde;Université de Toulon;2016
Université;27994;1321;14722;6358;4775;69387;Lyon 7e;Université Lumière - Lyon 2;2016
Université;31279;1569;19737;5254;3767;63113;Clermont-Ferrand;Université Clermont Auvergne;2016
Autre établissement;1587;170;1050;110;257;13001;Aix-en-Provence;Sciences Po Aix;2016
Université;4627;149;2433;1382;213;30189;Nîmes;Université de Nîmes;2016
Université;18536;872;10868;3652;2246;45234;Orléans;Université d'Orléans;2016
Université;29655;1197;16361;7319;4201;31555;Toulouse;Université Toulouse - Jean Jaurès;2016
École;723;99;474;22;128;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2016
Université;4069;183;2765;722;316;2B096;Corte;Université de Corse Pasquale Paoli;2016
École;470;106;327;19;18;91477;Palaiseau;Institut d'optique Graduate School;2016
École;362;37;269;45;11;59512;Roubaix;École nationale supérieure des arts et industries textiles;2016
Université;2966;813;1130;603;420;98818;Nouméa;Université de la Nouvelle-Calédonie;2016
École;1954;165;1444;134;211;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2016
Université;20558;704;10375;5221;4035;93079;Villetaneuse;Université Sorbonne Paris Nord;2016
École;2217;311;1077;60;769;44109;Nantes;Centrale Nantes;2016
Université;26595;1596;16687;4205;3599;86194;Poitiers;Université de Poitiers;2016
École;1954;436;1210;75;233;69387;Lyon 7e;École normale supérieure de Lyon;2016
Université;22565;1533;12064;3635;3601;75105;Paris  5e;Sorbonne Université;2016
Université;8975;230;4561;1978;1970;66136;Perpignan;Université de Perpignan Via Domitia;2016
Université;6903;272;3918;1710;889;84007;Avignon;Avignon Université;2016
Université;11086;657;6785;2584;647;97120;Pointe-à-Pitre;Université des Antilles;2016
Université;19513;682;10264;4571;3612;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2017
École;1101;165;666;40;230;13213;Marseille 13e;Centrale Marseille;2017
Université;25624;2389;14676;3540;3889;75113;Paris 13e;Université de Paris;2017
Université;28069;1408;15941;4462;5158;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2017
École;944;67;749;93;35;42218;Saint-Étienne;Centrale Lyon;2017
Université;50970;3393;33733;6861;5142;33522;Talence;Université de Bordeaux;2017
Université;12050;471;7220;2707;1244;77083;Champs-sur-Marne;Université Gustave Eiffel;2017
Université;27306;1315;14679;5778;4690;69387;Lyon 7e;Université Lumière - Lyon 2;2017
Université;32372;1768;20669;4945;4064;63113;Clermont-Ferrand;Université Clermont Auvergne;2017
École;2713;167;1840;220;486;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2017
Grand établissement;2466;299;1792;127;248;33522;Talence;Bordeaux INP;2017
Grand établissement;400;22;216;77;85;35238;Rennes;École des hautes études en santé publique;2017
Université;14117;789;8636;2550;1368;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2017
École;565;93;336;21;115;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2017
Université;8373;360;5412;1425;1004;17300;La Rochelle;La Rochelle Université;2017
Autre établissement;1445;141;1075;88;140;31555;Toulouse;Sciences Po Toulouse;2017
École;1907;384;1061;35;427;69081;Écully;Centrale Lyon;2017
Université;30370;1385;16543;6535;3980;92050;Nanterre;Université Paris Nanterre;2017
Autre établissement;1577;190;1103;82;202;69387;Lyon 7e;Sciences Po Lyon;2017
École;473;53;343;8;69;35238;Rennes;École nationale supérieure de chimie de Rennes;2017
Grand établissement;4887;1101;2599;138;1049;91272;Gif-sur-Yvette;CentraleSupélec;2017
Autre établissement;1027;48;323;639;17;97607;Dembeni;Centre Universitaire de Mayotte;2017
Université;20687;787;12255;4391;2835;35238;Rennes;Université Rennes 2;2017
Grand établissement;10098;1203;5656;433;2731;75107;Paris  7e;Sciences Po;2017
Université;32124;1411;19170;7625;3592;94028;Créteil;Université Paris-Est Créteil;2017
École;2062;229;1414;46;373;35238;Rennes;Institut national des sciences appliquées de Rennes;2018
Université;25523;2344;14754;3342;3832;75113;Paris 13e;Université de Paris;2018
Université;28467;1510;16628;4061;5137;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2018
Autre établissement;53;4;44;3;2;75104;Paris  4e;Université Paris Lumières;2018
Université;28346;1446;18936;5252;2669;80021;Amiens;Université de Picardie Jules-Verne;2018
Université;11723;467;7342;2129;1598;62041;Arras;Université d'Artois;2018
Université;44269;2807;27886;6596;5600;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2018
Université;33055;1795;21392;4490;4272;63113;Clermont-Ferrand;Université Clermont Auvergne;2018
Université;30739;1722;20352;4895;2842;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2018
Université;19429;861;11986;3265;2424;45234;Orléans;Université d'Orléans;2018
Université;23590;1366;16146;2998;2519;49007;Angers;Université d'Angers;2018
Université;29804;1556;19974;4326;2655;21231;Dijon;Université de Bourgogne;2018
Université;7807;267;4511;1381;1461;76351;Le Havre;Université Le Havre Normandie;2018
École;2692;176;1832;175;509;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2018
Grand établissement;916;62;351;142;361;75114;Paris 14e;École pratique des hautes études;2018
Grand établissement;77;6;30;2;39;75105;Paris  5e;Institut de physique du globe;2018
Grand établissement;416;19;221;70;106;35238;Rennes;École des hautes études en santé publique;2018
Université;15661;825;10005;2628;1579;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2018
École;1978;195;1432;94;256;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2018
Autre établissement;1406;126;1066;81;133;31555;Toulouse;Sciences Po Toulouse;2018
École;1876;387;1030;32;427;69081;Écully;Centrale Lyon;2018
École;483;48;357;5;73;35238;Rennes;École nationale supérieure de chimie de Rennes;2018
Grand établissement;5023;1124;2598;124;1177;91272;Gif-sur-Yvette;CentraleSupélec;2018
Université;9034;245;4838;1754;2000;66136;Perpignan;Université de Perpignan Via Domitia;2018
Université;7020;246;4347;1474;887;84007;Avignon;Avignon Université;2018
Grand établissement;3085;253;1271;246;1315;75113;Paris 13e;École des hautes études en sciences sociales;2018
Université;2918;142;1780;692;207;98738;Punaauia;Université de la Polynésie Française;2018
Université;23872;1150;16261;3588;2164;25056;Besançon;Université de Franche-Comté;2019
Autre établissement;1997;92;810;202;893;25056;Besançon;Université Bourgogne - Franche-Comté;2019
Grand établissement;11687;1019;7319;855;1957;;;Université Paris Dauphine - PSL;2019
Université;32732;1600;22132;4640;2935;21231;Dijon;Université de Bourgogne;2019
École;1163;101;912;60;90;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2019
Université;4732;185;3367;714;394;2B096;Corte;Université de Corse Pasquale Paoli;2019
École;420;70;291;12;47;;;Institut d'optique Graduate School;2019
École;365;30;285;18;32;59512;Roubaix;École nationale supérieure des arts et industries textiles;2019
Université;23201;855;10740;5690;5863;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2019
École;2002;195;1506;92;204;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2019
Université;26616;1526;18531;3319;2261;37261;Tours;Université de Tours;2019
Université;23307;755;12955;4966;4357;93079;Villetaneuse;Université Sorbonne Paris Nord;2019
Autre établissement;1714;199;1219;57;239;69387;Lyon 7e;Sciences Po Lyon;2019
Université;29161;1674;19679;3786;3407;86194;Poitiers;Université de Poitiers;2019
Grand établissement;6031;666;4239;437;688;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2019
Université;31514;1747;21456;4769;2584;14118;Caen;Université de Caen Normandie;2019
Grand établissement;166;31;100;10;25;;;École nationale des Chartes;2019
Université;72608;4176;45512;11859;8842;13207;Marseille  7e;Aix-Marseille Université;2019
Université;11917;719;7928;2132;775;97120;Pointe-à-Pitre;Université des Antilles;2019
Université;25472;1304;17937;3455;2301;29019;Brest;Université de Bretagne Occidentale;2020
École;1155;184;720;30;221;13213;Marseille 13e;Centrale Marseille;2020
Université;16106;741;10764;2599;1589;77083;Champs-sur-Marne;Université Gustave Eiffel;2020
Université;20442;955;14242;2810;1715;31555;Toulouse;Université Toulouse Capitole;2020
Université;27664;1295;18408;4586;2532;51454;Reims;Université de Reims Champagne-Ardenne;2020
Université;43440;2451;26131;5079;6197;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2020
École;2366;585;1324;50;407;;;École normale supérieure PSL;2020
École;5958;681;3842;191;1244;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2020
École;3256;221;2025;169;841;10387;Troyes;Université de technologie de Troyes;2020
Université;14915;509;9900;2533;1752;62041;Arras;Université d'Artois;2020
Grand établissement;11068;987;7368;697;1536;;;Université Paris Dauphine - PSL;2020
Grand établissement;6145;425;3594;1280;845;75113;Paris 13e;Institut national des langues et civilisations orientales;2020
Université;51241;4569;30795;5168;8933;91538;Saint-Aubin;Université Paris-Saclay;2020
Université;19018;1287;13003;2340;2260;75105;Paris  5e;Université Panthéon-Assas;2020
Université;5719;156;3561;1388;274;30189;Nîmes;Université de Nîmes;2020
Université;33285;1666;22721;4561;2871;21231;Dijon;Université de Bourgogne;2020
Université;13741;467;9090;1915;1666;64445;Pau;Université de Pau et des Pays de l'Adour;2020
Université;16003;737;10768;2725;1373;33318;Pessac;Université Bordeaux Montaigne;2020
Grand établissement;1115;85;384;110;536;;;École pratique des hautes études;2020
Université;7274;237;4638;1489;752;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2020
École;2048;210;1386;52;400;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2020
Université;3648;1087;1421;543;560;98818;Nouméa;Université de la Nouvelle-Calédonie;2020
École;2018;201;1521;90;206;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2020
Université;58899;4230;32873;7280;7235;75106;Paris  6e;Sorbonne Université;2020
École;2169;479;1416;67;207;69387;Lyon 7e;École normale supérieure de Lyon;2020
Grand établissement;68385;3130;45070;9320;9183;54395;Nancy;Université de Lorraine;2020
Grand établissement;92;6;70;16;;;;Observatoire de Paris;2020
Grand établissement;169;32;102;10;25;;;École nationale des Chartes;2020
École;1709;73;774;326;536;75105;Paris  5e;IAE Paris - Sorbonne Business School;2020
Grand établissement;2917;270;1306;242;1099;75113;Paris 13e;École des hautes études en sciences sociales;2020
Grand établissement;4935;631;3106;318;880;38185;Grenoble;Institut polytechnique de Grenoble;2006
École;378;44;291;42;1;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2006
Autre établissement;519;36;300;154;29;97209;Fort-de-France;Université des Antilles;2006
Université;24684;2196;11896;5135;4914;75105;Paris  5e;Université de Paris;2006
École;346;39;267;12;28;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2006
École;1458;291;963;85;119;94016;Cachan;École normale supérieure Paris-Saclay;2006
Université;22087;1139;10704;5506;4307;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2006
Université;20916;1181;10589;6665;1944;80021;Amiens;Université de Picardie Jules-Verne;2006
École;680;90;265;8;317;69387;Lyon 7e;École normale supérieure de Lyon;2006
Université;26452;1281;12720;7747;4210;69387;Lyon 7e;Université Lumière - Lyon 2;2006
Autre établissement;1763;207;1081;107;367;33318;Pessac;Sciences Po Bordeaux;2006
Autre établissement;2736;113;1898;667;58;54357;Maxéville;Université de Lorraine;2006
Autre établissement;1210;87;806;292;25;97411;Saint-Denis;Université de La Réunion;2006
Université;15637;1301;8569;3517;2199;75105;Paris  5e;Université Panthéon-Assas;2006
École;374;70;265;18;20;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2006
École;480;64;372;34;10;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2006
Université;9948;418;5549;1984;1983;67482;Strasbourg;Université de Strasbourg;2006
Université;6370;189;2809;2172;1131;76351;Le Havre;Université Le Havre Normandie;2006
Université;16865;1165;9586;3730;2105;38185;Grenoble;Université Grenoble Alpes;2006
Université;31160;2579;15336;7847;5376;75106;Paris  6e;Université de Paris;2006
École;573;81;413;75;4;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2006
Grand établissement;138;14;78;12;34;75105;Paris  5e;Institut de physique du globe;2006
Grand établissement;23;2;17;4;;35238;Rennes;École des hautes études en santé publique;2006
Autre établissement;495;81;236;166;12;98818;Nouméa;;2006
Grand établissement;337;25;163;48;101;75105;Paris  5e;Muséum national d'histoire naturelle;2006
Autre établissement;3437;112;1731;1400;116;30189;Nîmes;Université de Nîmes;2006
École;542;132;301;22;87;69387;Lyon 7e;École normale supérieure de Lyon;2006
Autre établissement;2043;122;1323;532;66;80021;Amiens;Université de Picardie Jules-Verne;2006
Université;6444;214;3198;2058;912;17300;La Rochelle;La Rochelle Université;2006
Autre établissement;1380;129;921;126;202;31555;Toulouse;Sciences Po Toulouse;2006
École;2406;274;1611;96;425;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2006
École;1366;281;762;21;302;69081;Écully;Centrale Lyon;2006
Autre établissement;2217;132;1296;369;420;38185;Grenoble;Université Grenoble Alpes;2006
École;130;5;85;39;1;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2006
Université;19687;1072;10176;5514;2846;13001;Aix-en-Provence;Aix-Marseille Université;2006
Université;14062;567;7674;3986;1691;42218;Saint-Étienne;Université Jean Monnet;2006
École;722;96;473;126;27;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2006
Université;18937;779;9991;6057;1850;35238;Rennes;Université Rennes 2;2006
Grand établissement;80;10;48;7;15;75114;Paris 14e;Observatoire de Paris;2006
Université;24546;1031;10667;7426;5005;94028;Créteil;Université Paris-Est Créteil;2006
Grand établissement;2680;224;911;350;1195;75106;Paris  6e;École des hautes études en sciences sociales;2006
Université;15421;583;6942;4716;2899;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2007
École;544;92;382;7;63;13213;Marseille 13e;Centrale Marseille;2007
Université;27814;2593;12940;4810;5794;75105;Paris  5e;Sorbonne Université;2007
