Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Université;17044;716;9693;4835;1615;95127;Cergy;CY Cergy Paris Université;2014
École;638;46;439;80;73;29019;Brest;École nationale d'ingénieurs de Brest;2014
Autre établissement;1447;137;1076;88;146;31555;Toulouse;Sciences Po Toulouse;2014
École;1714;361;989;26;338;69081;Écully;Centrale Lyon;2014
École;605;54;476;34;41;63014;Aubière;Clermont Auvergne INP;2014
Autre établissement;1504;172;1061;78;193;69387;Lyon 7e;Sciences Po Lyon;2014
Université;22627;1584;11453;3686;4191;75105;Paris  5e;Sorbonne Université;2014
Grand établissement;54870;2612;32906;11172;7934;54395;Nancy;Université de Lorraine;2014
Grand établissement;102;16;57;29;;75114;Paris 14e;Observatoire de Paris;2014
École;322;106;170;7;39;75105;Paris  5e;Chimie ParisTech-PSL;2014
Université;29271;1339;16455;7986;3180;94028;Créteil;Université Paris-Est Créteil;2014
Université;6582;233;3587;1816;883;84007;Avignon;Avignon Université;2014
Université;61216;3620;35481;14429;7454;13207;Marseille  7e;Aix-Marseille Université;2014
Grand établissement;4976;673;3206;268;756;38185;Grenoble;Institut polytechnique de Grenoble;2015
Université;25424;1361;14933;6059;2537;51454;Reims;Université de Reims Champagne-Ardenne;2015
Université;8556;376;5532;1991;648;56121;Lorient;Université Bretagne Sud;2015
Université;27011;1349;15258;5028;4817;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2015
Université;39376;2312;25345;6913;3899;44109;Nantes;Université de Nantes;2015
Autre établissement;1818;178;1238;145;257;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2015
École;1713;412;908;62;331;75105;Paris  5e;École normale supérieure PSL;2015
Université;27076;1462;15805;6413;2589;80021;Amiens;Université de Picardie Jules-Verne;2015
